country;lat;lon;countryname
AT;47.516231;14.550072;Austria
AU;-25.274398;133.775136;Australia
BE;50.503.887;4.469.936;Belgium
CA;56.130.366;-106.346.771;Canada
CH;46.818.188;8.227.512;Switzerland
DE;51.165.691;10.451.526;Germany
DK;5.626.392;9.501.785;Denmark
ES;40.463.667;-374.922;Spain
FR;46.227.638;2.213.749;France
GB;55.378.051;-3.435.973;United Kingdom
GR;39.074.208;21.824.312;Greece
HK;22.396.428;114.109.497;Hong Kong
IE;5.341.291;-824.389;Ireland
IT;4.187.194;1.256.738;Italy
JP;36.204.824;138.252.924;Japan
LU;49.815.273;6.129.583;Luxembourg
MX;23.634.501;-102.552.784;Mexico
NL;52.132.633;5.291.266;Netherlands
NO;60.472.024;8.468.946;Norway
NZ;-40.900.557;174.885.971;New Zealand
PL;51.919.438;19.145.136;Poland
SE;60.128.161;18.643.501;Sweden
SG;1.352.083;103.819.836;Singapore
SI;46.151.241;14.995.463;Slovenia
US;3.709.024;-95.712.891;United States
